TURNO	Data e Hora	PNP	Detalhes PNP	Observação PNP	Mista 2	Mista 3	CCME 	Buffer	Contagem	3AB	RETRABALHO	Campos e Tarefas	Rim   	Observação Geral	Qtd.linhas
TURNO 1	23/08/2025 14:01:53	Sem PNP Creme / Hidro	N/A	N/A	Controlado	Controlado	Controlado	Ambos abastecidos com oportunidade de TAMPA e Cx 51	8 itens de PA contados	Passivo na expansao apontado no final do turno.	Pendente desbloqueio 340662		Sem Rim		Hidro: 7, Cremes: 11
TURNO 2	23/08/2025 22:22:44	Sem PNP Creme / Hidro	N/A	N/A	Demanda controlada	Demanda controlada	30 paletes reintegrados  Piso mapeado para criação de saldo	Abastecido e organizado	6 itens de PA contados, aguardando liberação  4 itens de PA para solicitar no 3T	Baixa demanda nas portas	Ordem 340662 - abastecida na H1	40 ITENS - R$285.462,32 RANGER 0 > 5	Sem demanda		Hidro: 9, Cremes: 12
TURNO 3	23/08/2025 06:16:21	Sem PNP Creme / Hidro	N/A	N/A	Controlado. Material pendente de alocação no FIFO.	Controlado. Material pendente de separação e direciona para o FIFO.	Atuamos.   Passivo apontando no final do turno 8 paletes.	Controlado.	Não atuamos, piso cheio aguardado liberação.	Controlado.  Passivo de 5 paletes apontados no final do turno.		7856,58			Hidro: 8, Cremes: 11
TURNO 1	24/08/2025 13:52:25	Sem PNP Creme / Hidro	N/A	N/A	Controlado	Alta demanda	Atuação em 40 pallets	Ambos abastecidos, oportunidade em cx 51	6 itens contados	Passivo na expansão deixado no final do turno, demais saídas de 3AB com status controlado	sem retrabalho	Atuação em campos transitórios, valor financeiro ajustado - 66.756,82 2 Tarefas pendentes ajustadas	RIM para abastecer na H3 25/08 às 4AM	3 maquinas paradas. Maquina 21 e 23 nao habilitadas para partida, Maquina 05 - defeito cronico da bateria Passivo de pallets de contagem para inserir na mista3 e kanban da c7, fifo estrategicamente usado para contagem pois linha estava desprogramada.	Hidro: 8, Cremes: 11
TURNO 2	24/08/2025 22:07:46	Sem PNP Creme / Hidro	N/A	N/A	Esteira e piso com baixa demanda	Esteira e piso com baixa demanda	22 paletes reintegrados	Abastecido e organizado	Lista com 3 itens PA - 2 não criou documento 1 com divergência superior a 1%  Dificuldades na geração de lista PA	Portas com baixa demanda	340663 - Material no piso. Aguardando desbloqueio 🟡	Não atuamos	Sem demanda	Dificuldade em listar itens de PA para contagem  Industrial disponibilizando paletes e gaiolas na passagem de turnos	Hidro: 9, Cremes: 11
TURNO 3	24/08/2025 06:09:41	Sem PNP Creme / Hidro	N/A	N/A	Controlado. Com material pendente de separação e movimentação para o FIFO.	Controlado. Com material pendente de separação e movimentação para o FIFO.	Atuamos, controlado.	Controlado.	Atuamos nos paletes que estava no piso. Geramos uma lista para o 1° turno, com 63 paletes 4 itens.	Atuamos controlado.	Retrabalho:340663 - Abastecida	8568,67	[PROJETO EXPLORER - RIM] - Abastecida, pendente baixa. Paletes utilizados na Rim: 70700000077179 70700000273439,70700000294882,70700000294880,70700000294887,70700000510083,70700000403386	Dificuldade com a criação de lista para inventario.	Hidro: 7, Cremes: 11
TURNO 1	25/08/2025 14:04:27	Sem PNP Creme / Hidro	N/A	N/A	Controlado!	Controlado!	Controlado!	Controlado!	6 Itens de PA Contados.  Lista Pronta do 3º turno com 3 Itens de PA com 67 paletes.	Controlado! Oportunidade de agrupamento em frente ao fifos da H1 e H2	340665 Abastecido	Sem Informação	Sem Demanda.	Gaiolas Cheias disponibilizada no final de turno na área da expansão de cremes.	Hidro: 9, Cremes: 12
TURNO 2	25/08/2025 21:55:52	Sem PNP Creme / Hidro	N/A	N/A	Esteira e piso com baixa demanda	Esteira e piso com baixa demanda	03 pallets de colmeia aguardando criação de saldo.  01 pallet aguardando criação de saldo  15 pallets aguardando criação de saldo para reativa de ccme.  39 Pallets reintegrados.	Abastecido e organizado	3 itens - 42 paletes contados de PA Lista com 13 itens de PA para o 3T (6 foram ajustados pelo time de CE)	Expansão - baixa demanda Cremes - baixa demanda  Hidros - baixa demanda	Sem demanda	R$54.214,60 - 12 ITENS - RANGERS: 0 > 5, 16 > 30	Sem demanda	Escassez de gaiolas, fluxo demorado na liberação  Contagem liberada para armazenar	Hidro: 9, Cremes: 12
TURNO 3	25/08/2025 05:59:16	Sem PNP Creme / Hidro	N/A	N/A	Controlado.  Paletes pendentes de separação e direciona para o FIFO.	Controlado.  Paletes pendentes de separação e direciona para o FIFO.	Atuamos, controlado.	Controlado.	Contamos 4 itens (34 paletes ) pendentes de liberação.  Lista com 8 itens para o 1° turno (166 Paletes).	Atuamos controlado.  Passivo apontando no final do turno		10987,59			Hidro: 7, Cremes: 11
TURNO 1	26/08/2025 14:01:32	Sem PNP Creme / Hidro	N/A	N/A	Controlado.	Controlado.	Atuamos e controlado. Todos os materiais sem saldos se encontram planilhados, aguardando a criação de saldo.	Controlado.	Oportunidade dos 2 itens com 25 paletes que descermos, não gerou documento de contagem.  Com isso não contamos e não tivemos tempo hábil para solicitar os demais itens da lista. Lista pronta deixada pelo 3º turno com 6 itens de PA.	Controlado	Sem demanda.	Atuamos em campos transitórios 18 itens totalizando R$ 19.174,80, tarefas pendentes e recursos presos.	Sem demanda.	Máquina 21 sem funcionamento, não carrega, encontra-se no carregador da separação, técnico Vagner ciente.	Hidro: 9, Cremes: 13
TURNO 2	26/08/2025 22:11:03	Sem PNP Creme / Hidro	N/A	N/A	Piso e esteira com baixa demanda	Piso e esteira com baixa demanda	Atuamos. sem registro devido direcionamento do hc para contagem	Abastecido e organizado	2 itens - 40 paletes contados 9 itens de PA para o 3T solicitar (baixa de ce)	Portas com baixa demanda Paletes na expansão disponibilizados no final do turno	Sem demanda		Sem demanda	Realizar baixa de saldos para liberação de itens para contagem nos 3 turnos	Hidro: 9, Cremes: 13
TURNO 3	26/08/2025 06:03:13	Sem PNP Creme / Hidro	N/A	N/A	Controlado.   Com material pendente de separação e direciona para os FIFOS.	Controlado.   Com material pendente de separação e direciona para os FIFOS.	Atuamos, controlado.	Controlado.	Contamos 5 itens.   4 itens para o 1° turno solicita.	Atuamos controlado.		R$ 75.488.99			Hidro: 7, Cremes: 11
TURNO 1	27/08/2025 14:02:46	Sem PNP Creme / Hidro	N/A	N/A	Controlado	Controlado - Piso Parcial em processo de pintura.	Atuamos e controlado. ( Aguardando saldos serem criados )	Controlado. Oportunidade buffer de Hidro 51 e tampa já solicitado para novo galpão.	Contamos 3 Itens de PA. ( Aguardando a Liberação ) 1 Item no piso pendente de contar. Lista Pronta com 3 itens de PA para o 2º turno.	Controlado. Paletes de Hidro disponibilizado no final de turno.	1615816 e 1615817 (No piso da C4 para abastecimento)	Atuamos nas Tarefas Pendentes e Recusos.	Sem demanda.	Descemos materiais de oportunidade de agrupamento de colmeias, no fifo da H9. Priorizamos a solicitação do trans e o abastecimento de caixas de REMONTADAS.	Hidro: 9, Cremes: 13
TURNO 2	27/08/2025 22:11:54	Sem PNP Creme / Hidro	N/A	N/A	Controlado.	Material separado	Atuamos	Abastecido	Contamos 2 itens de PA - 31 paletes. Lista com 14 itens de PA para o turno da noite	Controlado	340708 abastecido	Sem informação	H6 separada aguardando centro de custo para baixa		Hidro: 8, Cremes: 11
TURNO 1	28/08/2025 14:06:36	Sem PNP Creme / Hidro	N/A	N/A	Controlado, passivo de pallets de estojo e colmeias para agrupar	Alta demanda		Oportunidade para ambos os buffer em tampa para cx master e tabuleiro, solicitação deixada para o time do galpão atuar. Caixas 52 de reuso em descida para abastecimento do buffer de hidro	2 itens de PA contados	Controlado	Sem retrabalho	Atuação em 18.127,87 em campo transitório	Sem demanda	Zona mista3 em processo de pintura Mista 2 e fifo h9 com pallets de MAE para compactar.	Hidro: 9, Cremes: 11
TURNO 2	28/08/2025 22:01:52	Sem PNP Creme / Hidro	N/A	N/A	Esteira controlada, mista combateriam para separação	Controlado.	Atuamos / mesmo HC da contagem	Abastecido	Descemos 2 itens com 31 paletes porém já estavam contados. Solicitamos 1 item 29 paletes contado	Atuação com HC do abastecimento de tanto para cremes quanto para Hidro	340711 - Abastecido  340710 - sem saldo físico  340712 - saldo de 35 pc opção de não abastecer do industrial	16 itens 14.952,31 - Hidro 12 itens 19.242,64 - Creme	Sem demanda	H4 - 1614950 rodando com separador fragmentado. Colmeia da ordem altura não comporta.  H9 - Rodando com divisórias dos frascos.  2 HC emprestados / sendo 1 armazém e 1 MP  Contamos com 01 HC de 15/h as 17:14 da expedição para atuação em 3AB	Hidro: 8, Cremes: 10
TURNO 1	29/08/2025 14:03:39	Sem PNP Creme / Hidro	N/A	N/A	Controlado	Controlado	Atuamos na reintegração e na organização da área.  Controlado.	Controlado	Tivemos dificuldade no espaço físico.  - Item 748692 com 30 paletes deixado pelo 2º e 3º turno que fez recontagem, aguardando CE para ajuste e liberação. - 3º turno deixou 2 itens com 32 paletes para contagem.  - Porém foi encontrado divergências altas, ajustamos e armazenamos. - 1 Item (750172) no piso para contagem. - Lista pronta com 9 itens.	Controlado nas demais áreas. Oportunidade na expansão de cremes.	Sem demanda.	Atuamos em 13 itens totalizando R$ 60.165,04	Sem demanda.	Maquina 21 em manutenção. Tivemos parada no trans 05 para manutenção e limpeza 10:30 ás 12:30	Hidro: 9, Cremes: 11
TURNO 2	29/08/2025 21:57:32	Sem PNP Creme / Hidro	N/A	N/A	Rampa controlada Mista com paletes separados	Controlado  Rampa vazia  Mista com paletes a separar e separados	N/A	Abastecido / Controlado	02 itens de PA -  51 paletes contados e armazenados.  Lista disponível para o 3 T ( 8 itens )	Cremes - 1 palete  Hidro  - 3 paletes  Expansão- passivo de fim do turno 4 paletes em apontamento problema na esteira da C2.	Sem atuação. Não houve solicitação	Cremes - 18.409,28 - 6 itens  Separacao - 3.193,94 - 2 itens  Hidro - 138.362,20 - 14 itens	P&D Gifts material no piso aguardando informar quantidade para baixa sistêmica	02 HC atestado.	Hidro: 8, Cremes: 11
TURNO 1	30/08/2025 13:59:32	Sem PNP Creme / Hidro	N/A	N/A	Controlado	Controlado	Atuamos, piso cheio, pendente de armazenar.	Controlado	Não contamos! Piso cheio pendente de armazenar dos paletes do 3º turno. Lista Pronta de 14 itens com 28 paletes de PA, para 2º turno.	Alta Demanda.	Sem Demanda.	Sem Informação.	Sem Demanda.	Falha na Esteira da Separação, impossibilitado de armazenar e solicitar. Solicitar a descida manual dos materiais de ordens na EXPEDIÇÃO.	Hidro: 9, Cremes: 13
TURNO 1	31/08/2025 14:05:32	Reportar PNP	N/A	N/A	Controlado	Controlado	Controlado	Ambos abastecidos.	21 itens de PA contados já liberados no fifo de contagem para inserir no trans.	Sem demanda de 3ab no fim do turno.	340734 - retrabalho de cremes em descida PRG03	Atuação em 30 tarefas pendentes acima de 2 dias de todas as áreas e turnos da logística. Campo transitório R$ 159.147,92 ajustado ranger acima de 3 dias até 16 e passivo de tarefas em aberto.	Sem rim	PNP C09 11h às 12h em analise da causa real. Impacto de 548 peças.	Hidro: 9, Cremes: 11
TURNO 3	31/08/2025 06:00:17	Sem PNP Creme / Hidro	N/A	N/A	Controlado.  Com material pendente de separação e direciona para o FIFO.	Controlado.  Com material pendente de separação e direciona para o FIFO.	Atuamos controlado.	Controlado .	Piso limpo.   Lista com 10 itens de ME para o 1° turno (36 paletes) .	Atuamos controlado.	Op retrabalho 340728 - Abastecer na C5	9894,69			Hidro: 7, Cremes: 10
TURNO 1	01/09/2025 13:58:41	Sem PNP Creme / Hidro	N/A	N/A	Controlado.	Controlado.  ( Piso parcialmente em processo de pintura )	Atuamos e Controlado.  ( Hidro disponibilizou tudo de vez  todos os matérias que estavam pendentes )	Controlado e organizado.	Contamos 7 itens. Lista pronta com 10 Itens para 2º turno.	Controlado.	340733 retrabalho aguardando o desbloqueio.	14 itens, totalizando R$ 110.966,97, PRD 0<5. HIDRO 10 itens, totalizando R$ 34.651,00, PRD 0 > 5. CREMES	Sem demanda.	Tivemos dificuldade na disponibilizada de gaiolas vazias. Maquina 06 parada com erro, sinalizado para Vagner.	Hidro: 8, Cremes: 12
TURNO 2	01/09/2025 22:08:36	Sem PNP Creme / Hidro	N/A	N/A	Material separado / distribuir nos fifos / rampa controlada	Rampa controlada / material separado e para separar	Atuação e organização	Abastecido e organizado	10 itens / 29!paletes no piso aguardando liberação	Controlado para as 3 portas	340733 separado	21 itens - 94.842,37 rang. 0>5	Rim H8 - no piso aguardando disponibilidade para abastecimento; Rim H6 - material separado / realizado baixa sistêmica aguardando para abastecimento	Iniciamos o turno com Máquina 6 - parada apresentando erro	Hidro: 8, Cremes: 11
TURNO 3	01/09/2025 06:09:04	Sem PNP Creme / Hidro	N/A	N/A	Controlado. Com material pendente de separação e envio para os FIFOS .	Controlado. Com material pendente de separação e envio para os FIFOS .	Atuamos controlado.	Controlado.	Contamos 10 itens . Lista com 10 itens .	Controlado.	340733: Pendente Abastecimento	7576,9	RIM  PROJETO MISS DAISY - H8 às 4h00 de Terça-feira (02/09). Material no piso disponivel para abastecimento -(Abastecido)		Hidro: 7, Cremes: 11
TURNO 1	02/09/2025 13:35:56	Sem PNP Creme / Hidro	N/A	N/A	Controlado	Controlado. Piso reduzido, em processo de pintura de piso.	Controlado.	Controlado.	Contamos 5 itens. ( Aguardando a validação e a liberação do CE  ) Lista pronta de 7 itens para 2º turno.	Controlado.	340733: Pendente Abastecimento ( ordem 340743 Aguardando desbloqueio  70700000472014	3 Itens de Hidro totalizando R$ 13.4272,05 Tratativa de todos os recusos do 1º turno da separação.	Sem Demanda.	Maquinas 06 e 21 Em Manutenção. Tivemos dificuldade na disponibilidade de gaiolas vazias. Tratativa de todos os recusos do 1º turno da separação.	Hidro: 8, Cremes: 13
TURNO 2	02/09/2025 21:58:17	Sem PNP Creme / Hidro	N/A	N/A	Esteira zerada / mista com material de rim para separar	Esteira controlada / material para separação	Atuação / controlado	Abastecido	7 itens / 37 paletes aguardando liberação  2 itens com divergência para recontagem	Controlado para as 3 portas	340733 - separado  Válvula no piso mista aguardando desbloqueio (340743)	50.329,61 - 11 itens	H3 p/ 04/H de 03.09 Material na mista 2 para separação	Dificuldade com gaiolas no início e durante o turno; Ordem da H4 no FIFO da H7 quebra do sequenciamento durante ativação.	Hidro: 7, Cremes: 10
TURNO 3	02/09/2025 06:02:46	Sem PNP Creme / Hidro	N/A	N/A	Controlado.  Com material pendente de separação e envio para o FIFO.	Controlado.  Com material pendente de separação e envio para o FIFO.	Atuamos controlado.	Controlado.	Contamos 10 itens.	Atuamos controlado.	Op retrabalho 340728 - Abastecido, cobrar confirmação na psa ao time do retrabalho.  340733: Pendente Abastecimento/ Ordem 340743 Abastecido.	66260,34			Hidro: 8, Cremes: 11
TURNO 1	03/09/2025 14:02:21	Sem PNP Creme / Hidro	N/A	N/A	Controlada.	Controlada.	Atuamos e Controlado.  ( Solicitamos e atribuímos matérias sem saldos e criados )	Controlado.	Contamos 14 itens de PA. Lista pronta de 10 Itens de PA.	Controlado.	Sem demanda.	Atuação de Tarefas pendentes, recursos e campos transitório. 5 itens de HIDRO, totalizando R$ 34.379,04.	Sem demanda.	Maquinas 06 e 21 Em Manutenção.  Tivemos a limpeza do PIG e PRG da Separação. Atuação e zerado de todos os recursos da Separação do 1º turno.	Hidro: 8, Cremes: 13
TURNO 2	03/09/2025 22:01:26	Sem PNP Creme / Hidro	N/A	N/A	Esteira controlada. Material separado na mista	Esteira controlada. Mista com material separado + a separar	Atuação / organização. Piso controlado	Abastecido 100%	9 itens contados sendo 03 PA e  06 ME.  Lista com 07 itens de PA para o 3T solicitar	Controlado para as 3 portas	N/A	0 no recurso de hidro. Itens de hidro alocados na ordem da H1. 3 paletes de frasco.	Rim H7 abastecida.		Hidro: 7, Cremes: 10
TURNO 3	03/09/2025 05:57:49	Sem PNP Creme / Hidro	N/A	N/A	Controlado. Com material pendente de separação, e alocação no FIFO.	Controlado. Com material pendente de separação, e alocação no FIFO.	Atuamos controlado.	Controlado.	Contamos 7 itens.  Lista com 11 itens para o 1° Turno.	Controlado.	340695: Aguardando desbloqueio, paletes na zona mista. Ordem 1615819 em abastecimento na C4 - Ordem de transformação	30075,5			Hidro: 7, Cremes: 10
TURNO 1	04/09/2025 14:07:34	Sem PNP Creme / Hidro	N/A	N/A	Controlado.	Controlado.	Controlado e atuação nos materiais sem saldos.	Controlado.	Contamos 8 itens de PA. ( Item 70669 aguardando a liberação do CE ) Lista pronta de 11 itens para 2º turno.	Controlado.	340695:Abastecido parcialmente e paletes na zona mista aguardando desbloqueio da qualidade	Atuamos em tarefas pendentes campos transitórios e recursos. ( 52 itens, totalizando R$ 22.5384,31	RIM FILME H6 70700000439838 / 70700000485229	Maquinas 06 e 21 Em Manutenção. Tivemos evacuação no final de turno.	Hidro: 7, Cremes: 13
TURNO 2	04/09/2025 21:54:43	Sem PNP Creme / Hidro	N/A	N/A	Controlado Material pendente de separação / e distribuição nos FIFOS	Controlado material pendente de separação e distribuição nos FIFOS	Controlado / material armazenado	Abastecido hidro / cremes	10 itens ME - contados; Lista de 14 itens para o 3T ( 07 PA e 07 ME)	Controlado para as 3 portas.	340695 - 2 paletes na mista 2 para abastecimento. Dar continuidade nos desbloqueios	9.325,74 - Cremes  N/A - tarefas pendente em recursos.	Rim H6 - separado (70700000534571) aguardando centro de custo para baixa sistemica		Hidro: 7, Cremes: 10
TURNO 3	04/09/2025 06:07:59	Sem PNP Creme / Hidro	N/A	N/A	Controlado. Com material pendente de separação e direciona para o FIFO.	Controlado. Com material pendente de separação e direciona para o FIFO.	Atuamos controlado.	Controlado.	Contamos 8 itens. 11 itens para o 1° turno .	Controlado.	340695:Abastecido parcialmente / disponível para abastecimento 02 paletes.	10954			Hidro: 7, Cremes: 11
TURNO 1	05/09/2025 14:07:07	Sem PNP Creme / Hidro	N/A	N/A	Controlado.	Controlado.	Controlado.	Controlado.	5 ITENS CONTADOS - ( 413503.00 no piso pendente de contar ) Armazenamento da lista do 3º turno. Lista Pronta de 11 Itens para 2º turno.	Controlado	340695:Abastecido parcialmente.	Atuação Tarefas e Recursos	Sem Demanda.	Alteração no sequenciamento da linha C8 irá rodar 810771, em seguida prosseguir com a 1615951.	Hidro: 8, Cremes: 12
TURNO 2	05/09/2025 21:58:37	Sem PNP Creme / Hidro	N/A	N/A	Esteira cheia. Paletes separados, pendente separação e distribuição nos fifos.	Controlado  Material separado, pendente separação e alocação nos fifos	Atuação / controlado	Abastecido	7 itens contados.  Lista com 32 itens de ME para 3T solicitar	Controlado para as 3 portas	340695 - 2 paletes para abastecimento  04 paletes em descida / solicitar desbloqueio	R$ 146.848,96 itens preso em recursos tratados. Sem pendências para separação nos saldos presos em recursos.	N/A		Hidro: 8, Cremes: 9
TURNO 3	05/09/2025 06:14:06	Sem PNP Creme / Hidro	N/A	N/A	Controlado.  Com material pendente de separação, e alocação nos FIFOS.	Controlado.  Com material pendente de separação, e alocação nos FIFOS.	Atuamos, controlado.	Controlado.	Contamos 2 itens.   Lista com 4 itens em descida, e 29 itens para ser solicitado .	Controlado.	340695: Abastecido Parcialmente -  Pendente abastecer paletes na zona mista .	18384,97			Hidro: 7, Cremes: 10
TURNO 1	06/09/2025 13:58:03	Sem PNP Creme / Hidro	N/A	N/A	Controlado	Controlado	Controlado	Abastecidos. Buffer de cremes com oportunidade em caixarias P,M,G - solicitação deixada para galpao	12 itens contados	Controlado para as 3 portas	Sem demanda		Sem demanda	Lista de contagem deixada pro 2t atuar Pallets no fifo de contagem liberados para inserir	Hidro: 8, Cremes: 7
TURNO 2	06/09/2025 21:55:59	Sem PNP Creme / Hidro	N/A	N/A	Mista organizada. Paletes aguardando retirada para o fifo.	Mista organizado. Paletes aguardando retirada para o fido.	28 reintegrados 4 aguardando inserção de trans. 1 bobina aguardando a movimentação para o galpão novo. 4 paletes aguardando a criação de saldo.	Buffer completo.	Materiais contados, aguardando liberação.	3ab controlado.	4 paletes no piso para ser retrabalho na segunda-feira no 1º turno.	19 itens  R$ 75.834,12	Não teve		Hidro: 9, Cremes: 8
TURNO 1	08/09/2025 14:04:16	Sem PNP Creme / Hidro	N/A	N/A	Controlado.	Controlado.	Atuamos e Controlado.	Controlado.	10 Itens de PA. ( Em processo de armazenamento ) Item 424220.00 Recontado, aguardando CE. Lista Pronta para 2º turno.	Controlado.	340695: Faltando abastecer  na H1.	Atuamos campos transitório, tarefas e recursos. ( 23 itens - R$ 57.003,87 )	RIM teste na C11 terça-feira (09/09) às 4h00 (bobina na zona mista3).	REDUZ AÍ - Atuamos paletes fracionados do trans para agrupamento.	Hidro: 9, Cremes: 12
TURNO 2	08/09/2025 21:56:37	Sem PNP Creme / Hidro	N/A	N/A	Esteira e piso com demanda controlada	Esteira e piso com demanda controlada	20 pallets reintegrados. 04 pallets aguardando tratativa de ccme.  02 paletes aguardando ser movimentado para o novo armazém.	Abastecido e organizado	8 itens de ME contados no 2T - Liberados para armazenar 12 itens para o 3T atuar, 5 PA e 7 ME	Portas Cremes, Hidros e Expansão - Controladas ✅	340695 - Abastecido ✅ 340738 - Material no piso. Aguardando desbloqueio 🟡	Cremes: 25 itens -  R$ 71.056,10 Hidros: 37 itens - R$ 220.759,73	[Pouch inapel - 2AP] Solicitação de descida de material RIM para teste -Terça-feira (09/09) às 4h00 na C11 - Na MISTA3 separado para abastecimento ✅	17 paletes atrás da esteira da mista3 com bloqueio de inventário seguem pendente de resolução - Chamado aberto ✅	Hidro: 9, Cremes: 11
TURNO 3	08/09/2025 06:12:06	Sem PNP Creme / Hidro	N/A	N/A	Controlado.  Com material pendente de separação, e alocação nos FIFOS.	Controlado.  Com material pendente de separação, e alocação nos FIFOS.	Atuamos controlado.	Controlado.	14 itens contado.   Lista com 10 itens para o 1° turno .	Atuamos controlado.	340740: Abastecida Parcialmente, paletes pendentes abastecimento / 340738 abastecido parcialmente	58875,89		1° Os paletes de contagem que estava com chamando aberto, foram inserindo durante o turno 3°.   2° As 23:00 horas abastecemos um palete de frasco, código 430622.00 ,FR MALBEC DES COL BLACK 100ml V2 WB, mas o material físico se tratava de FR MALBEC TRADICIONAL, o que gerou uma reanálise de 1.470 peças pela qualidade , FCA está sendo construindo.	Hidro: 7, Cremes: 10
TURNO 1	09/09/2025 14:06:50	Sem PNP Creme / Hidro	N/A	N/A	Controlado.	Controlado.	Controlado.	Controlado.	Contamos 07 itens - Aguardando a liberação do CE. ( 3 Itens em descida do 3º turno ) Lista Pronta com 10 itens para 2º turno.	Controlado.	340740 Faltando solicitar restante    340738 material  em descida.	Atuação de Campos Transitórios de Hidro 16 - R$ 103.088,09. Atuação de tarefas e Recursos.	Sem demanda.	Maquina 16 - Em Manutenção. Realizamos 15 paletes de agrupação.  FCA realizada da reprovação da linha H9.	Hidro: 9, Cremes: 12
TURNO 2	09/09/2025 22:01:07	Reportar PNP	Linha: H1 | Tempo: 30min | Peças: 1.200 | Resp: Pesagem (Registrado pelo industrial)	[H1]: Falha1: não termos o registro de tentativa de abastecimento da ordem programada para 14hrs antes da passagem do turn (Piso obstruído no 1T) Falha2: único palete de tampa estava com lote divergente, tivemos que puxar de volta pra ajustar e reenviar pra linha  Assim que o time do 2T retornou da labora iniciou o abastecimento da ordem, finalizando as 14:47.	Esteira e piso com baixa demanda	Esteira com baixa demanda, piso com pendências de separação/movimentação	15pallets reintegrados	Abastecido e organizado	Lista com 9 itens de ME, contamos 3, 6 pendente de contagem para o 3T atuar Lista com 12 itens de ME para o 3T solicitar	Portas Cremes, Hidros e Expansão com baixa demanda	Ordem 340740 - Aguardando desbloqueio	Hidros -  31 ITENS / R$409.777,66 Cremes -	Sem demanda	13 paletes solicitados para compactação em 5 paletes	Hidro: 9, Cremes: 11
TURNO 3	09/09/2025 06:01:05	Sem PNP Creme / Hidro	N/A	N/A	Controlado. Com material pendente de separação, e aloca no FIFO.	Controlado. Com material pendente de separação, e aloca no FIFO.	Atuamos controlado;	Controlado.	Contamos 6 itens.   Lista com 11 itens para o 1° turno.	Passivo no piso devido a o numero de paletes sendo inserindo e ocupação do trans.	340740: Abastecido parcialmente.	28525,86		Dificuldade com ocupação do trans, iniciamos a desmobilização enviado material para o  novo armazém.	Hidro: 8, Cremes: 10
TURNO 1	10/09/2025 14:07:27	Sem PNP Creme / Hidro	N/A	N/A	Cheio, pendente de separa, devido a instabilidade do sap.	Cheio, pendente de separa, devido a instabilidade do sap.	Atuamos, pendente de armazenar.	Controlado	Contamos 3 Itens. ( 433699.00 no piso, aguardando CE ) Fifo cheio, lista toda em descida. ( Oportunidade Operacional )  Lista Pronta para o 2º turno com 10 itens.	Um passivo!  Armazenamos gradativamente, devido a ocupação.	340740: Abastecido parcialmente	Itens 27 - R$ 41.914,59 - Hidro Tarefas pendentes de Cremes.	Sem Demanda.	Instabilidade do SAP, chamado aberto. Continuidade da ação de agrupação, de 10 paletes evoluímos para 2. Atenção na ocupação de estoque TRANSELEVADOR. Tivemos dificuldade na disponibilidade de gaiolas.	Hidro: 9, Cremes: 10
TURNO 2	10/09/2025 22:04:15	Sem PNP Creme / Hidro	N/A	N/A	Esteira com alta demanda, piso com demanda controlada	Esteira vazia, piso com pendências de separação/Movimentação	41 pallets reintegrados. 04 pallet  aguardando para ser inserido trans . 21 pallets no aguardo de tratativa de Ccme.	Abastecido e organizado	Contamos 5 itens de ME Lista com 6 itens de ME para o 3T atuar (Paletes parcialmente no piso)	Portas controladas	Ordem 340740 - abastecida	Recurso -  02 itens  /  R$ 8.026 Hidros -  30 ITENS  / R$226.598,41	Sem demanda	Devido oportunidade na solicitação de paletes para contagem no 1T, deixamos para o 3T o piso com pendências de compactação e armazenagem dos itens contados no 1T e 2T 12 paletes solicitados para compactação ♻️ >> Finalizamos com 4 paletes ✅	Hidro: 9, Cremes: 10
TURNO 3	10/09/2025 06:03:06	Sem PNP Creme / Hidro	N/A	N/A	Controlado. Com paletes pendentes de separação e direciona para os FIFO.	Controlado. Com paletes pendentes de separação e direciona para os FIFO.	Atuamos controlado.	Controlado.	Devido o cenário que recebemos não conseguimos conta. Atuamos de forma que o 1° turno tenha condições de performa. Lista com 8 itens pendente de solicitação, e 5 itens no piso pendente de contagem.	Atuamos controlado.		48753,88		Encontramos um cenário adverso, na área de contagem, movimentamos 65 paletes durante a organização, atuamos e deixamos condições do 1° turno performa .	Hidro: 7, Cremes: 10
TURNO 1	11/09/2025 14:03:33	Sem PNP Creme / Hidro	N/A	N/A	Controlado	Controlado	Atuamos e Controlado.	Controlado.	Contamos 13 itens. ( Aguardando CE ) 2 itens em descida da lista do 1º turno. Lista pronta para 2º turno, deixado pelo 3º turno. Lista deixada do 3º turno em descida. ( Não gerou documento, armazenamos os mesmos)	Controlado.	340740: Abastecido parcialmente	Atuação nas tarefas pendentes. Atuação e zerado de recurso do 1º turno da separação. Hidro - 11 - R$ 11.2232,31	Sem demanda.	10 palete de Fardamento, pendente de enviar para MP. Solicitamos a descida de paletes de EPI e Fardamento do Trans. Agrupamos 37 paletes. ( Contagem, CCME e zona mista )	Hidro: 9, Cremes: 10
TURNO 2	11/09/2025 21:56:54	Sem PNP Creme / Hidro	N/A	N/A	Esteira e piso com baixa demanda	Esteira e piso com baixa demanda	Atuamos. Alta demanda devido CCME acumulado de Cremes	Abastecido e organizado	Contamos 10 itens de ME - Liberados e armazenados Lista com 15 itens para o 3T: 7 PA e 8 ME	Demanda controlada	Ordem 340740 - Aguardando desbloqueio para abastecimento Ordem 340763  - Desbloqueado, pendente separar e abastecer	Preso em Recursos: 2 itens - R$10.060,00 Cremes - 3 Itens - R$15.592,08	Sem demanda	Área de tratativa com alta demanda devido a liberação acumulada de paletes de CCME em cremes. Contagem - Piso liberado para descida da lista deixada para o 3T - 15 itens  Necessário mapear oportunidades de itens para baixa de saldo e liberação para contagem	Hidro: 9, Cremes: 11
