Data	Expedição 0 a 4 dias	Expedição 5 dias	Expedição 6 a 14 dias	Expedição 15 dias	Expedição 16 a 29 dias	Expedição 30 dias	Expedição + 30 dias	Expedição Total	Expedição 999	MP 0 a 4 dias	MP 5 dias	MP 6 a 14 dias	MP 15 dias	MP 16 a 29 dias	MP 30 dias	MP + 30 dias	MP Total	MP 999	Separação 0 a 4 dias	Separação 5 dias	Separação 6 a 14 dias	Separação 15 dias	Separação 16 a 29 dias	Separação 30 dias	Separação + 30 dias	Separação Total	Separação 999	Recebimento  0 a 4 dias	Recebimento  5 dias	Recebimento  6 a 14 dias	Recebimento  15 dias	Recebimento  16 a 29 dias	Recebimento  30 dias	Recebimento  + 30 dias	Recebimento  Total	Recebimento  999	Arm. Estojo 0 a 4 dias	Arm. Estojo  5 dias	Arm. Estojo  6 a 14 dias	Arm. Estojo  15 dias	Arm. Estojo  16 a 29 dias	Arm. Estojo  30 dias	Arm. Estojo  + 30 dias	Arm. Estojo  Total	Arm. Estojo  999
22/08/2025	R$ 5,00	R$ 534,00	R$ 876,00	R$ 6,00	R$ 5,00	R$ 6,00	R$ 5,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 8,00	R$ 8,00	R$ 67,00	R$ 6,00	R$ 78,00	R$ 8,00	R$ 9,00	R$ 9,00	R$ 9,00	R$ 8,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 5,00	R$ 4,00	R$ 4,00	R$ 4,00	R$ 5,00	R$ 6,00	R$ 7,00
23/08/2025	R$ 6,00	R$ 42,00	R$ 543,00	R$ 6,00	R$ 5,00	R$ 6,00	R$ 5,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 8,00	R$ 8,00	R$ 67,00	R$ 6,00	R$ 78,00	R$ 8,00	R$ 9,00	R$ 9,00	R$ 9,00	R$ 8,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 5,00	R$ 4,00	R$ 4,00	R$ 4,00	R$ 5,00	R$ 6,00	R$ 7,00
24/08/2025	R$ 4,00	R$ 23,00	R$ 2,00	R$ 6,00	R$ 5,00	R$ 6,00	R$ 5,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 8,00	R$ 8,00	R$ 67,00	R$ 6,00	R$ 78,00	R$ 8,00	R$ 9,00	R$ 9,00	R$ 9,00	R$ 8,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 5,00	R$ 4,00	R$ 4,00	R$ 4,00	R$ 5,00	R$ 6,00	R$ 7,00
25/08/2025	R$ 564,00	R$ 5,00	R$ 456,00	R$ 6,00	R$ 5,00	R$ 6,00	R$ 5,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 8,00	R$ 8,00	R$ 67,00	R$ 6,00	R$ 78,00	R$ 8,00	R$ 9,00	R$ 9,00	R$ 9,00	R$ 8,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 5,00	R$ 4,00	R$ 4,00	R$ 4,00	R$ 5,00	R$ 6,00	R$ 7,00
26/08/2025	R$ 56,00	R$ 63,00	R$ 7,00	R$ 6,00	R$ 5,00	R$ 6,00	R$ 5,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 8,00	R$ 8,00	R$ 67,00	R$ 6,00	R$ 78,00	R$ 8,00	R$ 9,00	R$ 9,00	R$ 9,00	R$ 8,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 5,00	R$ 4,00	R$ 4,00	R$ 4,00	R$ 5,00	R$ 6,00	R$ 7,00
27/08/2025	R$ 568,00	R$ 675,00	R$ 54,00	R$ 6,00	R$ 5,00	R$ 6,00	R$ 5,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 8,00	R$ 8,00	R$ 67,00	R$ 6,00	R$ 78,00	R$ 8,00	R$ 9,00	R$ 9,00	R$ 9,00	R$ 8,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 5,00	R$ 4,00	R$ 4,00	R$ 4,00	R$ 5,00	R$ 6,00	R$ 7,00
28/08/2025	R$ 8,00	R$ 6,00	R$ 32,00	R$ 6,00	R$ 5,00	R$ 6,00	R$ 5,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 8,00	R$ 8,00	R$ 67,00	R$ 6,00	R$ 78,00	R$ 8,00	R$ 9,00	R$ 9,00	R$ 9,00	R$ 8,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 5,00	R$ 4,00	R$ 4,00	R$ 4,00	R$ 5,00	R$ 6,00	R$ 7,00
29/08/2025	R$ 97,00	R$ 978,00	R$ 4,00	R$ 6,00	R$ 5,00	R$ 6,00	R$ 5,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 8,00	R$ 8,00	R$ 67,00	R$ 6,00	R$ 78,00	R$ 8,00	R$ 9,00	R$ 9,00	R$ 9,00	R$ 8,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 5,00	R$ 4,00	R$ 4,00	R$ 4,00	R$ 5,00	R$ 6,00	R$ 7,00
30/08/2025	R$ 0,00	R$ 67,00	R$ 567,00	R$ 6,00	R$ 5,00	R$ 6,00	R$ 5,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 8,00	R$ 8,00	R$ 67,00	R$ 6,00	R$ 78,00	R$ 8,00	R$ 9,00	R$ 9,00	R$ 9,00	R$ 8,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 5,00	R$ 4,00	R$ 4,00	R$ 4,00	R$ 5,00	R$ 6,00	R$ 7,00
31/08/2025	R$ 56,00	R$ 58,00	R$ 5,00	R$ 6,00	R$ 5,00	R$ 6,00	R$ 5,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 8,00	R$ 8,00	R$ 67,00	R$ 6,00	R$ 78,00	R$ 8,00	R$ 9,00	R$ 9,00	R$ 9,00	R$ 8,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 5,00	R$ 4,00	R$ 4,00	R$ 4,00	R$ 5,00	R$ 6,00	R$ 7,00
01/09/2025	R$ 75,00	R$ 7,00	R$ 543,00	R$ 6,00	R$ 5,00	R$ 6,00	R$ 5,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 8,00	R$ 8,00	R$ 67,00	R$ 6,00	R$ 78,00	R$ 8,00	R$ 9,00	R$ 9,00	R$ 9,00	R$ 8,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 5,00	R$ 4,00	R$ 4,00	R$ 4,00	R$ 5,00	R$ 6,00	R$ 7,00
02/09/2025	R$ 678,00	R$ 74,00	R$ 23,00	R$ 6,00	R$ 5,00	R$ 6,00	R$ 5,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 8,00	R$ 8,00	R$ 67,00	R$ 6,00	R$ 78,00	R$ 8,00	R$ 9,00	R$ 9,00	R$ 9,00	R$ 8,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 5,00	R$ 4,00	R$ 4,00	R$ 4,00	R$ 5,00	R$ 6,00	R$ 7,00
03/09/2025	R$ 670,00	R$ 45,00	R$ 456,00	R$ 6,00	R$ 5,00	R$ 6,00	R$ 5,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 8,00	R$ 8,00	R$ 67,00	R$ 6,00	R$ 78,00	R$ 8,00	R$ 9,00	R$ 9,00	R$ 9,00	R$ 8,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 5,00	R$ 4,00	R$ 4,00	R$ 4,00	R$ 5,00	R$ 6,00	R$ 7,00
04/09/2025	R$ 89,00	R$ 356,00	R$ 7,00	R$ 6,00	R$ 5,00	R$ 6,00	R$ 5,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 8,00	R$ 8,00	R$ 67,00	R$ 6,00	R$ 78,00	R$ 8,00	R$ 9,00	R$ 9,00	R$ 9,00	R$ 8,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 5,00	R$ 4,00	R$ 4,00	R$ 4,00	R$ 5,00	R$ 6,00	R$ 7,00
05/09/2025	R$ 56,00	R$ 436,00	R$ 5,00	R$ 6,00	R$ 5,00	R$ 6,00	R$ 5,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 8,00	R$ 8,00	R$ 67,00	R$ 6,00	R$ 78,00	R$ 8,00	R$ 9,00	R$ 9,00	R$ 9,00	R$ 8,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 5,00	R$ 4,00	R$ 4,00	R$ 4,00	R$ 5,00	R$ 6,00	R$ 7,00
06/09/2025	R$ 4,00	R$ 5,00	R$ 432,00	R$ 6,00	R$ 5,00	R$ 6,00	R$ 5,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 8,00	R$ 8,00	R$ 67,00	R$ 6,00	R$ 78,00	R$ 8,00	R$ 9,00	R$ 9,00	R$ 9,00	R$ 8,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 5,00	R$ 4,00	R$ 4,00	R$ 4,00	R$ 5,00	R$ 6,00	R$ 7,00
07/09/2025	R$ 56,00	R$ 523,00	R$ 34,00	R$ 6,00	R$ 5,00	R$ 6,00	R$ 5,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 8,00	R$ 8,00	R$ 67,00	R$ 6,00	R$ 78,00	R$ 8,00	R$ 9,00	R$ 9,00	R$ 9,00	R$ 8,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 5,00	R$ 4,00	R$ 4,00	R$ 4,00	R$ 5,00	R$ 6,00	R$ 7,00
08/09/2025	R$ 345,00	R$ 23,00	R$ 567,00	R$ 6,00	R$ 5,00	R$ 6,00	R$ 5,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 8,00	R$ 8,00	R$ 67,00	R$ 6,00	R$ 78,00	R$ 8,00	R$ 9,00	R$ 9,00	R$ 9,00	R$ 8,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 5,00	R$ 4,00	R$ 4,00	R$ 4,00	R$ 5,00	R$ 6,00	R$ 7,00
09/09/2025	R$ 34,00	R$ 14,00	R$ 5,00	R$ 6,00	R$ 5,00	R$ 6,00	R$ 5,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 8,00	R$ 8,00	R$ 67,00	R$ 6,00	R$ 78,00	R$ 8,00	R$ 9,00	R$ 9,00	R$ 9,00	R$ 8,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 5,00	R$ 4,00	R$ 4,00	R$ 4,00	R$ 5,00	R$ 6,00	R$ 7,00
10/09/2025	R$ 564,00	R$ 23,00	R$ 54,00	R$ 6,00	R$ 5,00	R$ 6,00	R$ 5,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 8,00	R$ 8,00	R$ 67,00	R$ 6,00	R$ 78,00	R$ 8,00	R$ 9,00	R$ 9,00	R$ 9,00	R$ 8,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 5,00	R$ 4,00	R$ 4,00	R$ 4,00	R$ 5,00	R$ 6,00	R$ 7,00
11/09/2025	R$ 575,00	R$ 1,00	R$ 32,00	R$ 6,00	R$ 5,00	R$ 6,00	R$ 5,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 8,00	R$ 8,00	R$ 67,00	R$ 6,00	R$ 78,00	R$ 8,00	R$ 9,00	R$ 9,00	R$ 9,00	R$ 8,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 5,00	R$ 4,00	R$ 4,00	R$ 4,00	R$ 5,00	R$ 6,00	R$ 7,00
12/09/2025	R$ 68,00	R$ 123,00	R$ 45,00	R$ 6,00	R$ 5,00	R$ 6,00	R$ 5,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 8,00	R$ 8,00	R$ 67,00	R$ 6,00	R$ 78,00	R$ 8,00	R$ 9,00	R$ 9,00	R$ 9,00	R$ 8,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 5,00	R$ 4,00	R$ 4,00	R$ 4,00	R$ 5,00	R$ 6,00	R$ 7,00
13/09/2025	R$ 67,00	R$ 23,00	R$ 67,00	R$ 6,00	R$ 5,00	R$ 6,00	R$ 5,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 8,00	R$ 8,00	R$ 67,00	R$ 6,00	R$ 78,00	R$ 8,00	R$ 9,00	R$ 9,00	R$ 9,00	R$ 8,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 5,00	R$ 4,00	R$ 4,00	R$ 4,00	R$ 5,00	R$ 6,00	R$ 7,00
14/09/2025	R$ 978,00	R$ 1,00	R$ 5,00	R$ 6,00	R$ 5,00	R$ 6,00	R$ 5,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 8,00	R$ 8,00	R$ 67,00	R$ 6,00	R$ 78,00	R$ 8,00	R$ 9,00	R$ 9,00	R$ 9,00	R$ 8,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 5,00	R$ 4,00	R$ 4,00	R$ 4,00	R$ 5,00	R$ 6,00	R$ 7,00
15/09/2025	R$ 0,00	R$ 123,00	R$ 432,00	R$ 6,00	R$ 5,00	R$ 6,00	R$ 5,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 8,00	R$ 8,00	R$ 67,00	R$ 6,00	R$ 78,00	R$ 8,00	R$ 9,00	R$ 9,00	R$ 9,00	R$ 8,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 5,00	R$ 4,00	R$ 4,00	R$ 4,00	R$ 5,00	R$ 6,00	R$ 7,00
16/09/2025	R$ 789,00	R$ 23,00	R$ 1,00	R$ 6,00	R$ 5,00	R$ 6,00	R$ 5,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 8,00	R$ 8,00	R$ 67,00	R$ 6,00	R$ 78,00	R$ 8,00	R$ 9,00	R$ 9,00	R$ 9,00	R$ 8,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 5,00	R$ 4,00	R$ 4,00	R$ 4,00	R$ 5,00	R$ 6,00	R$ 7,00
17/09/2025	R$ 8.657,00	R$ 1,00	R$ 45,00	R$ 6,00	R$ 87,00	R$ 78.678,00	R$ 68,00	R$ 68,00	R$ 768,00	R$ 678,00	R$ 687,00	R$ 687,00	R$ 6,00	R$ 876,00	R$ 876,00	R$ 876,00	R$ 876,00	R$ 876,00	R$ 876,00	R$ 876,00	R$ 876,00	R$ 87,00	R$ 687,00	R$ 687,00	R$ 687,00	R$ 68,00	R$ 76,00	R$ 786,00	R$ 786,00	R$ 876,00	R$ 78,00	R$ 687,00	R$ 687,00	R$ 687,00	R$ 68,00	R$ 678,00	R$ 68,00	R$ 76,00	R$ 876,00	R$ 87,00	R$ 687,00	R$ 678,00	R$ 687,00	R$ 6,00	R$ 876,00
18/09/2025	R$ 2.230.837,11	R$ 556,13	R$ 53.908,17	R$ 2.181,20	R$ 344,10	R$ 0,00	R$ 385,94	R$ 56.819,41	R$ 517.922,92	R$ 1.232.531,98	R$ 32.020,74	R$ 375.179,44	R$ 14.492,06	R$ 242.928,54	R$ 8.432,99	R$ 149.111,25	R$ 790.144,28	R$ 258.270,97	R$ 2.429.743,13	R$ 24.911,24	R$ 120.857,28	R$ 15.232,66	R$ 35.068,53	R$ 1.814,40	R$ 1.167.060,12	R$ 1.340.032,99	R$ 531.796,72	R$ 2.078.632,85	R$ 13.796,37	R$ 139.734,99	R$ 1.610,35	R$ 104.281,26	R$ 14.938,86	R$ 258.492,16	R$ 519.057,62	R$ 654.776,63	R$ 787.508,68	R$ 432,83	R$ 7.429,40	R$ 0,00	R$ 15.788,64	R$ 0,00	R$ 42.610,78	R$ 65.828,82	R$ 145.006,61
19/09/2025	R$ 2.230.837,11	R$ 556,13	R$ 53.908,17	R$ 2.181,20	R$ 344,10	R$ 0,00	R$ 385,94	R$ 56.819,41	R$ 517.922,92	R$ 1.232.531,98	R$ 32.020,74	R$ 375.179,44	R$ 14.492,06	R$ 242.928,54	R$ 8.432,99	R$ 149.111,25	R$ 790.144,28	R$ 258.270,97	R$ 2.429.743,13	R$ 24.911,24	R$ 120.857,28	R$ 15.232,66	R$ 35.068,53	R$ 1.814,40	R$ 1.167.060,12	R$ 1.340.032,99	R$ 531.796,72	R$ 2.078.632,85	R$ 13.796,37	R$ 139.734,99	R$ 1.610,35	R$ 104.281,26	R$ 14.938,86	R$ 258.492,16	R$ 519.057,62	R$ 654.776,63	R$ 787.508,68	R$ 432,83	R$ 7.429,40	R$ 0,00	R$ 15.788,64	R$ 0,00	R$ 42.610,78	R$ 65.828,82	R$ 145.006,61
